student_id,age,gender,year_of_study,course,attendance_percentage,cgpa,study_hours_per_day,assignment_workload,exam_frequency,academic_pressure,sleep_hours,sleep_quality,screen_time_hours,physical_activity_hours,social_interaction_hours,breaks_per_day,hobbies_hours_per_week,days_off_per_week,academic_pressure_score,lifestyle_balance_score,burnout_score,burnout_risk
STU0062,19,Female,2,Business,87.0,7.69,5.5,4,1,4,6.5,10,4.6,6.1,10.4,5,6.0,2,31.93,63.78,37.19,Moderate
STU0063,22,Male,2,Design,77.1,7.67,5.9,7,2,8,6.4,6,9.0,5.5,10.4,3,2.7,1,58.62,44.48,56.87,Moderate
STU0064,20,Male,3,Engineering,80.9,8.04,7.4,5,1,7,6.4,5,8.5,2.1,9.3,6,8.0,2,46.73,46.69,53.61,Moderate
STU0065,19,Male,1,Medicine,69.1,7.47,6.8,7,5,7,5.7,7,7.1,5.7,8.3,3,4.8,1,66.7,46.99,61.04,High
STU0066,20,Female,4,Medicine,68.4,7.96,9.7,10,3,9,4.9,4,9.3,3.4,4.9,2,4.8,1,77.42,30.77,66.99,High
STU0067,19,Female,2,Engineering,87.5,8.94,6.9,7,0,7,6.6,6,10.5,3.4,5.2,5,7.7,2,46.27,45.07,46.77,Moderate
STU0068,22,Other,2,Medicine,78.6,8.3,8.0,7,4,6,6.8,6,6.0,4.0,5.3,3,5.8,2,58.4,48.02,55.83,Moderate
STU0069,18,Female,1,Computer Science,65.3,7.59,3.2,2,3,2,9.0,9,8.0,5.8,14.7,6,7.4,2,27.58,69.22,18.61,Low
STU0070,26,Male,1,Computer Science,91.1,7.93,6.3,6,0,6,6.2,6,12.2,4.9,10.4,5,9.9,2,40.74,48.29,41.66,Moderate
STU0071,22,Male,4,Business,67.4,7.83,7.6,7,1,9,6.5,5,8.7,1.7,9.3,2,3.4,0,61.72,34.75,61.84,High
STU0072,19,Male,2,Design,88.8,7.59,4.5,5,3,5,5.9,7,4.9,6.3,8.8,3,6.5,1,43.08,52.39,45.5,Moderate
STU0073,18,Female,1,Engineering,80.5,7.52,6.4,4,2,4,7.9,7,7.3,4.6,11.6,5,12.8,3,37.05,64.21,31.73,Moderate
STU0074,22,Female,2,Medicine,88.1,7.92,6.7,6,1,4,7.0,8,6.7,4.7,12.7,5,9.2,1,37.92,58.97,45.12,Moderate
STU0075,21,Male,2,Engineering,73.8,6.99,9.8,10,0,9,6.1,3,8.9,1.3,4.9,3,4.4,1,69.22,30.83,57.65,Moderate
STU0076,21,Male,1,Design,77.9,6.66,5.9,7,4,7,5.4,4,8.5,2.5,12.7,5,4.6,1,62.83,39.29,61.91,High
STU0077,22,Male,2,Design,98.4,8.89,6.8,4,1,6,5.7,6,10.3,2.6,9.7,3,6.8,2,35.78,40.68,52.02,Moderate
STU0078,18,Female,3,Design,86.2,6.47,3.4,3,3,2,7.3,9,5.7,8.4,14.4,6,11.6,2,28.91,73.56,50.44,Moderate
STU0079,20,Female,3,Design,78.7,7.04,7.4,8,0,7,4.6,4,12.5,1.4,5.0,4,3.2,2,54.09,26.37,53.85,Moderate
STU0080,19,Male,2,Computer Science,86.2,7.77,5.4,5,0,2,7.2,7,6.6,6.3,12.3,6,9.4,2,24.96,63.24,15.98,Low
STU0081,22,Male,2,Engineering,90.9,7.88,7.2,4,2,3,6.7,9,7.0,5.9,14.8,6,7.7,2,32.05,64.2,41.27,Moderate
STU0082,21,Male,4,Medicine,86.2,8.69,9.2,9,3,6,6.2,5,7.9,2.8,12.0,4,6.0,2,60.04,45.38,60.62,High
STU0083,20,Female,2,Engineering,94.0,8.77,6.8,6,2,4,7.3,7,7.7,4.9,18.4,4,7.9,2,38.61,59.7,42.09,Moderate
STU0084,18,Male,1,Design,85.6,6.91,3.7,6,1,6,5.9,7,10.1,3.3,7.4,4,7.6,1,44.19,43.17,35.72,Moderate
STU0085,20,Male,1,Engineering,70.7,7.5,5.2,7,0,6,7.2,8,6.3,6.9,11.3,5,4.0,1,46.72,59.13,42.04,Moderate
STU0086,20,Male,2,Computer Science,68.6,7.25,5.5,3,2,2,8.6,9,7.5,5.8,14.5,5,11.7,2,29.29,70.17,31.44,Moderate
STU0087,21,Female,3,Engineering,84.0,7.3,4.7,4,1,2,7.7,8,9.6,6.3,16.1,5,3.9,2,25.75,59.86,22.69,Low
STU0088,21,Female,1,Arts,77.5,7.3,3.2,7,3,4,7.4,6,3.3,4.7,6.6,4,7.0,1,46.58,54.93,34.83,Moderate
STU0089,23,Male,3,Computer Science,79.5,7.45,8.4,7,4,6,3.8,7,10.6,1.7,6.3,2,3.2,1,60.0,28.21,64.25,High
STU0090,20,Female,1,Commerce,96.1,8.14,5.3,5,3,5,8.5,8,6.9,6.1,15.6,5,9.1,1,41.61,66.51,31.23,Moderate
STU0091,19,Female,2,Engineering,90.7,7.93,7.7,8,4,8,6.2,7,9.2,1.9,13.8,4,7.0,1,66.19,45.76,65.01,High
STU0092,21,Male,3,Computer Science,83.3,8.44,5.1,5,1,1,8.1,7,6.5,3.8,14.8,6,12.4,2,23.74,65.43,25.3,Low
STU0093,21,Female,2,Medicine,90.2,8.08,4.5,4,2,4,7.2,9,4.6,5.7,9.5,6,6.8,2,32.92,64.85,26.38,Low
STU0094,21,Male,3,Commerce,74.0,6.77,5.2,8,2,6,5.3,5,9.1,2.7,7.0,2,0.0,1,56.16,30.61,78.71,High
STU0095,22,Female,1,Medicine,88.2,7.34,7.0,5,3,4,7.2,8,4.8,7.3,15.6,6,8.1,2,42.34,69.27,40.92,Moderate
STU0096,20,Male,3,Business,65.3,6.42,5.7,5,3,5,7.7,6,8.9,2.3,10.6,2,6.9,2,49.94,46.83,54.7,Moderate
STU0097,20,Other,1,Engineering,93.5,7.31,6.1,3,0,3,8.7,8,6.9,6.4,15.1,5,7.5,2,22.87,67.88,20.22,Low
STU0098,20,Female,4,Computer Science,79.9,8.06,7.1,5,1,5,6.6,8,9.6,3.6,9.3,5,7.6,1,39.94,50.06,36.88,Moderate
STU0099,18,Female,1,Arts,82.7,8.79,7.3,7,3,10,4.3,2,8.9,1.7,5.9,2,2.2,1,66.65,22.4,69.73,High
STU0100,19,Female,4,Engineering,79.5,8.13,6.0,6,0,4,7.6,6,6.1,5.5,12.9,5,7.5,1,35.42,58.21,48.45,Moderate
STU0101,18,Female,2,Commerce,90.1,6.84,6.1,4,1,6,7.6,6,7.7,3.4,4.6,4,6.3,1,40.0,47.01,37.92,Moderate
STU0102,21,Male,3,Design,70.9,7.37,7.1,5,2,6,5.7,7,8.2,5.4,4.7,4,9.9,2,48.93,49.79,35.1,Moderate
STU0103,20,Male,2,Engineering,83.7,7.63,8.8,8,3,7,5.8,4,10.4,2.0,2.0,5,4.9,1,62.44,32.34,52.69,Moderate
STU0104,20,Female,4,Commerce,85.0,8.21,6.7,7,1,5,7.7,8,8.4,5.0,10.2,5,7.5,2,44.07,58.74,28.68,Low
STU0105,23,Female,1,Computer Science,88.1,8.04,6.9,6,2,7,7.3,4,11.0,4.3,5.7,3,2.1,1,50.89,36.86,51.63,Moderate
STU0106,19,Female,1,Engineering,100.0,8.07,3.5,4,2,1,8.9,8,5.9,7.2,14.1,7,8.9,2,20.47,73.74,32.41,Moderate
STU0107,20,Male,2,Computer Science,90.1,7.4,4.1,6,2,5,6.5,7,7.6,4.4,7.6,6,7.3,2,42.62,53.48,29.94,Low
STU0108,21,Female,1,Design,72.3,5.9,5.7,6,2,7,5.6,5,8.1,3.1,4.9,3,0.5,0,56.09,32.09,61.31,High
STU0109,19,Male,1,Computer Science,79.0,8.24,5.8,9,5,7,3.6,3,9.9,2.3,10.6,2,3.2,0,68.49,23.16,67.56,High
STU0110,18,Male,4,Commerce,84.3,7.61,5.4,6,1,3,7.1,7,6.8,6.4,13.4,4,4.0,1,34.66,55.66,38.08,Moderate
STU0111,19,Male,4,Arts,84.1,7.72,5.1,4,1,5,6.6,6,8.7,6.4,9.6,4,10.9,2,35.37,54.73,35.62,Moderate
STU0112,19,Female,2,Medicine,88.4,7.52,6.6,7,3,5,7.2,8,6.5,6.0,8.1,6,9.6,1,50.57,60.94,28.3,Low
STU0113,23,Male,4,Medicine,64.6,7.85,8.8,10,2,8,5.9,5,8.2,4.6,7.1,4,6.1,1,71.15,42.83,60.41,High
STU0114,22,Female,3,Medicine,78.1,7.65,7.8,10,3,5,6.6,6,8.3,1.3,6.5,2,3.9,1,61.4,37.16,69.14,High
STU0115,21,Female,1,Engineering,75.6,7.73,5.6,6,3,7,7.3,7,9.3,2.9,7.2,3,4.8,2,55.41,45.94,56.07,Moderate
STU0116,22,Male,3,Medicine,85.3,8.2,9.0,9,4,6,6.6,5,6.1,4.7,8.1,3,4.8,2,63.84,47.45,56.08,Moderate
STU0117,22,Male,3,Commerce,84.5,7.72,5.2,6,2,5,6.3,6,5.1,2.5,7.4,5,4.0,1,43.94,46.06,54.36,Moderate
STU0118,19,Female,4,Arts,84.8,8.19,5.0,5,1,4,6.9,7,6.9,6.1,5.9,5,5.6,0,33.83,51.42,39.58,Moderate
STU0119,23,Female,1,Arts,83.3,7.44,3.1,3,1,2,7.3,9,8.3,7.2,10.0,5,8.2,2,21.52,63.05,23.67,Low
STU0120,20,Female,3,Business,82.6,7.4,5.5,6,2,4,7.5,7,8.9,5.3,12.3,4,5.6,0,41.71,51.58,38.89,Moderate
STU0121,22,Female,1,Business,78.5,8.08,5.8,6,3,5,6.8,5,7.9,4.2,10.1,4,6.0,1,47.84,46.58,48.69,Moderate
STU0122,23,Female,1,Medicine,86.0,9.03,7.2,7,0,4,6.9,7,8.3,2.8,12.3,7,7.0,1,36.62,53.15,52.31,Moderate
STU0123,20,Female,1,Commerce,80.8,6.7,3.3,2,1,4,8.1,9,5.3,9.4,14.2,5,7.4,3,27.23,75.33,18.02,Low
STU0124,19,Female,4,Business,81.9,8.57,6.9,8,0,6,5.7,5,8.6,4.7,6.4,3,6.6,1,47.26,40.68,45.51,Moderate
STU0125,19,Male,4,Engineering,72.3,7.57,7.7,8,0,6,5.1,6,9.9,4.4,4.3,3,7.3,1,51.19,38.1,63.4,High
STU0126,20,Male,4,Arts,72.5,5.71,3.9,2,2,5,6.7,8,5.9,5.4,9.8,4,8.7,2,37.09,58.72,40.53,Moderate
STU0127,22,Male,2,Engineering,69.0,8.22,8.9,6,5,8,6.1,2,10.4,4.9,8.1,3,1.2,1,67.77,32.29,78.84,High
STU0128,22,Female,2,Commerce,81.8,6.56,2.8,4,3,3,6.8,10,5.7,7.1,12.0,7,9.4,3,35.1,72.1,42.48,Moderate
STU0129,18,Male,1,Commerce,81.9,7.84,6.7,6,1,6,6.3,6,7.1,5.1,10.3,4,7.6,0,45.76,48.59,54.85,Moderate
STU0130,20,Male,2,Arts,92.0,7.03,3.7,1,1,3,6.6,7,4.7,5.5,12.3,7,6.9,2,19.03,62.1,34.41,Moderate
STU0131,20,Male,2,Engineering,84.1,7.73,6.5,6,5,7,5.9,7,10.4,1.3,6.7,5,4.4,1,60.74,38.59,61.69,High
STU0132,19,Male,3,Design,85.9,7.13,3.6,4,3,1,8.9,9,8.1,8.2,13.9,6,10.6,2,27.47,74.15,13.03,Low
STU0133,19,Male,3,Medicine,84.2,7.98,5.6,6,2,4,6.8,8,6.8,6.7,12.1,5,8.4,2,40.56,62.11,32.67,Moderate
STU0134,20,Male,1,Engineering,87.5,6.58,7.5,5,3,5,6.5,6,7.9,4.8,9.1,4,8.4,3,47.48,52.72,41.6,Moderate
STU0135,24,Female,1,Design,100.0,7.9,2.9,4,1,3,7.6,7,10.0,5.8,13.6,6,7.6,2,23.92,59.16,40.37,Moderate
STU0136,20,Male,1,Medicine,85.4,8.33,9.0,9,1,7,7.0,6,7.2,2.7,7.6,2,5.4,1,57.94,43.22,70.56,High
STU0137,20,Male,2,Commerce,97.4,7.25,5.2,3,3,2,7.4,9,3.7,5.6,11.8,5,11.3,2,27.24,69.21,29.07,Low
STU0138,21,Male,4,Engineering,92.5,6.87,5.5,6,2,4,7.4,7,8.6,5.2,13.8,5,10.3,2,40.94,59.95,42.29,Moderate
STU0139,20,Male,3,Medicine,72.8,7.95,8.7,8,3,5,6.2,5,6.1,3.7,5.9,3,5.9,1,56.98,42.77,52.57,Moderate
STU0140,25,Female,4,Commerce,84.4,6.5,6.4,6,2,6,6.3,8,7.0,4.9,6.1,4,9.2,1,50.32,52.37,47.03,Moderate
STU0141,25,Female,2,Engineering,75.3,8.95,8.3,9,3,9,5.7,3,9.1,1.0,2.4,3,5.3,1,70.67,28.35,67.91,High
STU0142,19,Male,2,Computer Science,80.3,6.81,6.4,7,1,6,7.5,7,7.2,2.0,11.6,5,9.5,2,50.27,55.42,60.49,High
STU0143,20,Male,1,Arts,71.6,7.14,6.5,7,2,8,4.2,2,9.9,2.8,5.3,3,3.2,1,60.92,24.23,80.12,Very High
STU0144,20,Male,4,Medicine,79.0,7.85,6.5,7,2,4,7.2,7,6.1,3.9,14.6,4,11.9,1,45.17,58.87,33.13,Moderate
STU0145,19,Female,4,Design,79.4,7.85,6.1,4,0,3,7.9,10,7.3,5.0,11.9,4,11.7,1,27.1,64.65,32.13,Moderate
STU0146,18,Female,1,Engineering,78.3,7.81,5.7,6,2,6,8.5,8,7.9,6.3,14.5,4,7.0,2,48.57,64.12,40.19,Moderate
STU0147,21,Male,2,Engineering,82.0,7.1,4.7,5,2,5,6.8,9,6.9,4.7,11.1,4,9.3,3,42.19,61.18,12.65,Low
STU0148,20,Male,2,Engineering,78.3,8.18,6.2,7,1,5,8.2,8,4.8,6.6,11.5,5,7.5,1,44.82,65.71,49.4,Moderate
STU0149,18,Male,3,Engineering,85.2,8.18,7.1,6,5,6,6.2,7,7.9,4.1,11.1,3,9.7,2,56.97,51.43,71.32,High
STU0150,19,Female,4,Medicine,82.0,7.97,6.5,6,5,4,8.5,9,4.3,7.0,20.0,6,10.6,2,50.69,78.64,43.5,Moderate
STU0151,23,Male,3,Medicine,83.6,8.32,5.9,3,1,1,8.0,8,5.5,6.1,17.3,6,7.7,2,19.01,69.53,21.95,Low
STU0152,19,Female,3,Medicine,83.7,8.5,6.9,6,0,4,8.1,8,5.1,5.1,9.6,7,8.5,2,34.86,66.71,43.72,Moderate
STU0153,19,Male,1,Computer Science,86.0,7.93,8.4,8,0,8,5.1,3,11.3,2.6,5.8,3,6.7,1,55.56,29.13,67.5,High
STU0154,20,Female,1,Medicine,80.8,8.01,7.6,8,3,5,6.3,6,7.5,4.2,9.9,2,5.0,2,54.63,45.68,69.38,High
STU0155,26,Female,1,Computer Science,90.4,8.44,5.2,3,2,3,7.1,8,7.2,5.1,10.3,6,5.9,1,26.76,57.13,37.46,Moderate
STU0156,19,Male,1,Computer Science,93.4,7.99,7.7,7,4,5,5.0,6,11.2,3.4,12.7,3,4.7,2,52.87,38.95,56.96,Moderate
STU0157,21,Male,3,Arts,78.2,7.22,5.4,5,4,6,7.2,3,8.9,1.0,5.8,2,4.5,1,52.54,32.78,59.51,Moderate
STU0158,21,Female,3,Commerce,100.0,8.38,3.7,2,0,2,8.5,9,5.7,6.3,13.8,6,8.5,2,11.89,71.47,18.11,Low
STU0159,19,Male,1,Commerce,78.9,7.43,4.7,4,0,7,7.6,5,6.1,4.5,8.1,3,2.9,1,40.05,47.07,50.66,Moderate
STU0160,21,Female,4,Engineering,85.5,8.0,7.3,10,1,6,6.0,7,7.9,6.7,9.5,4,8.5,1,56.5,52.74,63.11,High
STU0161,20,Female,1,Business,85.6,9.13,5.6,3,0,5,5.4,6,9.7,5.4,13.8,4,6.7,2,27.41,47.95,31.58,Moderate
STU0162,21,Female,2,Commerce,80.3,7.87,6.6,6,1,4,6.1,6,5.3,3.1,8.0,5,9.5,2,39.22,51.8,50.0,Moderate
STU0163,21,Female,1,Design,92.6,6.53,3.5,4,3,4,7.9,8,8.5,6.9,14.2,6,8.4,2,37.27,65.9,58.62,Moderate
STU0164,20,Male,2,Engineering,73.2,8.08,7.4,8,5,7,4.3,4,8.8,3.2,5.1,2,5.8,1,68.28,30.1,61.71,High
STU0165,19,Female,1,Arts,85.6,6.9,4.1,4,2,8,6.4,8,4.3,2.8,9.9,3,5.0,2,48.65,52.14,55.25,Moderate
STU0166,22,Male,2,Business,79.2,8.22,5.9,6,1,4,7.6,10,7.9,4.7,10.5,6,9.2,2,38.24,64.45,36.14,Moderate
STU0167,20,Male,2,Business,91.3,8.13,3.9,5,0,5,7.5,7,6.3,4.0,11.5,6,6.6,2,32.26,58.73,26.06,Low
STU0168,19,Female,4,Computer Science,85.5,7.91,8.2,8,3,8,4.7,4,8.4,3.5,11.5,2,4.3,1,64.51,34.35,52.15,Moderate
STU0169,18,Male,1,Engineering,77.0,8.17,8.3,8,5,6,5.5,4,9.2,4.6,6.6,3,5.4,1,64.91,36.9,69.38,High
STU0170,21,Female,1,Engineering,85.3,8.06,8.1,8,5,6,4.3,4,5.7,5.8,3.8,2,6.0,1,63.54,37.06,53.71,Moderate
STU0171,21,Male,1,Engineering,62.9,7.22,8.7,8,3,7,5.0,2,10.4,0.1,3.4,2,5.5,1,66.51,21.22,79.04,High
STU0172,18,Female,3,Business,82.3,7.21,3.9,5,1,5,6.6,8,6.2,4.9,12.1,4,3.3,2,38.29,54.89,42.45,Moderate
STU0173,20,Female,1,Computer Science,74.8,7.67,6.9,10,2,8,5.7,4,10.9,5.9,3.6,1,3.2,1,68.17,31.99,82.37,Very High
STU0174,19,Female,4,Computer Science,63.0,7.81,6.8,5,3,3,6.8,7,8.3,4.3,8.6,5,9.5,3,42.26,55.77,36.42,Moderate
STU0175,21,Female,2,Engineering,73.5,8.18,9.3,8,3,7,6.6,5,9.6,4.5,7.9,3,4.6,2,63.64,42.88,52.77,Moderate
STU0176,19,Female,2,Computer Science,70.9,8.25,9.5,10,0,7,4.4,4,13.0,2.4,11.0,1,5.9,1,60.68,26.1,76.05,High
STU0177,21,Male,3,Computer Science,85.8,7.62,6.6,8,2,5,7.8,5,6.8,2.7,6.1,5,4.8,1,50.61,46.91,49.72,Moderate
STU0178,20,Male,1,Design,74.8,6.84,4.0,3,1,3,6.7,9,7.9,6.4,13.4,3,10.7,3,28.02,63.13,39.24,Moderate
